period,material_id,market,forecast_qty,unit,projected_unit_cost_usd_per_kg
2025-02-01,MAT001,Honduras,9.577627340750844,TM,1.25
2025-03-01,MAT001,Perú,10.383521209501856,TM,1.19
2025-04-01,MAT001,Chile,10.06555643657033,TM,1.13
2025-06-01,MAT001,Chile,14077.56272572131,KG,1.31
2025-07-01,MAT001,Honduras,7824.321806392741,KG,0.95
2025-07-01,MAT001,Ecuador,11996.155326918359,KG,1.07
2025-07-01,MAT001,Perú,12.635350903921818,TM,1.14
2025-08-01,MAT001,Ecuador,9760.845367280803,KG,0.77
2025-08-01,MAT001,Honduras,12515.467611209035,KG,1.48
2025-09-01,MAT001,Chile,11905.452840443213,KG,0.76
2025-09-01,MAT001,Honduras,11.15485289831759,TM,1.19
2025-10-01,MAT001,Ecuador,7283.562833919817,KG,1.59
2025-11-01,MAT001,Perú,16.424942802611383,TM,1.05
2025-01-01,MAT002,Bolivia,8547.491699999266,KG,1.5
2025-01-01,MAT002,Ecuador,6.485300113523975,TM,1.3
2025-01-01,MAT002,Perú,10857.478418807628,KG,1.27
2025-01-01,MAT002,Honduras,6.465089130655404,TM,1.14
2025-02-01,MAT002,Chile,10.791151613069559,TM,1.11
2025-02-01,MAT002,Honduras,13513.741280401959,KG,1.75
2025-03-01,MAT002,Ecuador,12332.012728185231,KG,1.09
2025-04-01,MAT002,Perú,5895.522402263005,KG,1.72
2025-05-01,MAT002,Bolivia,10.684684990416715,TM,1.76
2025-06-01,MAT002,Perú,6678.862953869536,KG,1.39
2025-06-01,MAT002,Chile,4729.834652564252,KG,1.72
2025-06-01,MAT002,Bolivia,7.4402699483235395,TM,0.76
2025-07-01,MAT002,Bolivia,8227.87895810954,KG,1.56
2025-07-01,MAT002,Ecuador,11.05526922519761,TM,1.2
2025-10-01,MAT002,Bolivia,7.369417665497235,TM,0.67
2025-10-01,MAT002,Perú,7.470309189121386,TM,0.94
2025-11-01,MAT002,Honduras,14.427847144160527,TM,1.45
2025-11-01,MAT002,Perú,8.997629677897564,TM,0.8
2025-01-01,MAT003,Perú,10.698634060411505,TM,1.28
2025-01-01,MAT003,Bolivia,10163.060756171148,KG,1.34
2025-02-01,MAT003,Ecuador,5853.45545386888,KG,0.89
2025-02-01,MAT003,Bolivia,12.10586087866381,TM,1.0
2025-03-01,MAT003,Chile,15811.69348728855,KG,0.91
2025-04-01,MAT003,Bolivia,11590.1941168044,KG,1.15
2025-05-01,MAT003,Ecuador,6790.74276613093,KG,1.33
2025-05-01,MAT003,Bolivia,10590.328289970872,KG,1.08
2025-07-01,MAT003,Honduras,9741.698044536854,KG,1.3
2025-09-01,MAT003,Chile,9.488777256507387,TM,1.33
2025-10-01,MAT003,Chile,7445.388432442696,KG,1.38
2025-12-01,MAT003,Perú,10828.822537985661,KG,0.51
2025-12-01,MAT003,Ecuador,10.999211117854765,TM,1.29
2025-01-01,MAT004,Bolivia,12218.238016902844,KG,1.0
2025-02-01,MAT004,Perú,5302.722783458456,KG,1.04
2025-04-01,MAT004,Honduras,12450.327601602374,KG,1.58
2025-05-01,MAT004,Ecuador,10.70582833476479,TM,1.33
2025-05-01,MAT004,Chile,4807.985183478346,KG,1.08
2025-06-01,MAT004,Ecuador,7.580203287077882,TM,1.41
2025-07-01,MAT004,Bolivia,6783.6009357194225,KG,1.8
2025-07-01,MAT004,Ecuador,10724.933565030255,KG,1.64
