production_order_id,material_id,plant,planned_qty,actual_qty,unit,prod_start_date,prod_end_date,std_cost_pen_per_kg
PP20250000,MAT011,LIM01,19430.20813644397,18589.816716734695,KG,2025-03-04,2025-03-12,8.24
PP20250001,MAT001,CHI01,15.834417426511587,14.472853969341928,TM,2025-04-07,2025-04-13,6.12
PP20250002,MAT004,ARE01,19618.94795337039,20231.146797880498,KG,2025-01-04,2025-01-05,3.98
PP20250003,MAT003,LIM01,23.605755708199382,23.68311795239997,TM,2025-04-20,2025-04-29,4.03
PP20250004,MAT011,BOL01,16870.7681312817,15418.587295695696,KG,2025-04-02,2025-04-09,6.56
PP20250005,MAT002,BOL01,27.4832685268547,32.344658775601665,TM,2025-03-12,2025-03-17,2.95
PP20250006,MAT007,LIM01,14895.082265703842,13473.632241905652,KG,2025-06-29,2025-07-08,4.64
PP20250007,MAT001,LIM01,20.31018992857169,20.58787097797085,TM,2025-03-26,2025-03-28,5.61
PP20250008,MAT004,ARE01,32.72686041580201,32.60937681732208,TM,2025-06-11,2025-06-12,2.77
PP20250009,MAT009,BOL01,20.104007774907846,19.530513497412205,TM,2025-08-07,2025-08-16,4.44
PP20250010,MAT001,BOL01,24356.59016867801,22282.01408991353,KG,2025-09-15,2025-09-19,3.8
PP20250011,MAT004,BOL01,8862.130597313257,8573.03467847962,KG,2025-05-29,2025-06-01,5.02
PP20250012,MAT007,ARE01,16762.788908473158,16220.007397316844,KG,2025-04-01,2025-04-05,5.11
PP20250013,MAT008,BOL01,18.2339136588365,17.28700949701602,TM,2025-03-21,2025-03-27,5.53
PP20250014,MAT005,LIM01,24742.36086179703,25944.121424967627,KG,2025-04-07,2025-04-08,6.55
PP20250015,MAT003,ECU01,20083.389255995065,19697.576076852412,KG,2025-01-06,2025-01-07,4.88
PP20250016,MAT006,CHI01,20.556076676174023,19.0393486929938,TM,2025-01-23,2025-01-30,5.1
PP20250017,MAT003,ARE01,21.405790162261386,21.203815976381314,TM,2025-06-11,2025-06-19,5.7
PP20250018,MAT006,LIM01,22.910490602384776,20.724158681441512,TM,2025-02-12,2025-02-20,3.46
PP20250019,MAT002,ECU01,13736.335571188149,13424.013546603244,KG,2025-07-13,2025-07-20,4.89
PP20250020,MAT002,CHI01,27376.254305900628,25284.173199480923,KG,2025-01-23,2025-01-25,3.33
PP20250021,MAT006,BOL01,16276.888276108031,14148.657607690997,KG,2025-02-28,2025-03-03,4.11
PP20250022,MAT005,LIM01,13.780508150782058,13.423367103641377,TM,2025-09-04,2025-09-05,5.81
PP20250023,MAT012,ECU01,12905.296566761375,12947.105656558448,KG,2025-03-07,2025-03-12,5.3
PP20250024,MAT009,LIM01,5.736257049620114,5.306413224405124,TM,2025-03-22,2025-03-28,5.17
PP20250025,MAT007,LIM01,24736.19933401823,25295.030187959648,KG,2025-01-01,2025-01-03,4.74
PP20250026,MAT009,CHI01,22.49820888883373,20.330927006147572,TM,2025-08-14,2025-08-19,5.76
PP20250027,MAT011,BOL01,1617.3208021256257,1440.2788633653195,KG,2025-07-24,2025-07-25,7.26
PP20250028,MAT006,BOL01,27411.484329861636,26888.88140444648,KG,2025-02-06,2025-02-12,6.33
PP20250029,MAT004,LIM01,22178.0554862871,22817.3197903588,KG,2025-03-26,2025-03-28,7.73
PP20250030,MAT001,ARE01,22679.96909167342,24038.582107592396,KG,2025-06-02,2025-06-08,6.44
PP20250031,MAT005,LIM01,25.566454397307233,29.65903579106059,TM,2025-09-17,2025-09-20,4.1
PP20250032,MAT004,LIM01,17058.667099767346,15654.714020024814,KG,2025-01-21,2025-01-22,1.68
