purchase_order_id,po_item,material_id,material_desc,category,supplier_id,supplier_name,supplier_country,incoterm,currency,price_per_unit,quantity,unit,plant,order_date,promised_date,delivery_date,projected_usd_per_kg,fx_pen_per_usd_at_order,qty_kg,unit_cost_usd_per_kg,total_cost_usd,lead_time_plan_days,lead_time_actual_days,cost_deviation_pct_vs_projection,supplier_type,supplier_country_code,supplier_country_risk_score,supplier_country_risk_band
45020250000,10,MAT008,Aceite de Girasol Crudo,Oleaginosas,SUP009,Carioca Foods,Brasil,CIF,USD,1.4504,10084.490361708624,KG,LIM01,2025-05-28,2025-06-08,2025-06-17,1.3191035910634386,3.829,10084.490361708624,1.4504,14626.544820622186,11,20,9.953457016269091,Internacional,BRA,40,Bajo
45020250001,10,MAT003,Envase PET 1L,Empaques,SUP011,Pacifica Oils,Ecuador,DAP,PEN,4.16,17855.870331455237,KG,ECU01,2025-06-07,2025-07-19,2025-07-27,1.00709530674676,3.842,17855.870331455237,1.0827693909422176,19333.789843533,42,50,7.514093620385245,Internacional,ECU,52,Medio
45020250002,10,MAT008,Aceite de Girasol Crudo,Oleaginosas,SUP010,Litoral Químicos,Perú,FOB,USD,1560.3761,12.709590991659361,TM,BOL01,2025-06-25,2025-07-20,2025-07-19,1.4422414678934363,3.69,12709.590991659361,1.5603761,19831.742024160565,25,24,8.191043922701327,Local,PER,45,Medio
45020250003,10,MAT009,Cartón Corrugado,Empaques,SUP011,Pacifica Oils,Ecuador,CFR,USD,1000.281,17.705654191090204,TM,CHI01,2025-01-09,2025-02-17,2025-02-14,1.0431039398163346,3.854,17705.654191090205,1.000281,17710.6294799179,39,36,-4.105337750318032,Internacional,ECU,52,Medio
45020250004,10,MAT003,Envase PET 1L,Empaques,SUP007,Danube Agro,Rumanía,CIF,PEN,2.32,5788.07768984664,KG,ECU01,2025-08-16,2025-09-09,2025-09-14,0.7708506331204472,3.44,5788.07768984664,0.6744186046511628,3903.587279198897,24,29,-12.509820233126373,Internacional,ROU,30,Bajo
45020250005,10,MAT002,Trigo Duro,Cereales,SUP009,Carioca Foods,Brasil,CFR,USD,0.9912,9055.599232011975,KG,CHI01,2025-04-19,2025-05-09,2025-05-07,1.074311260044699,3.863,9055.599232011975,0.9912,8975.90995877027,20,18,-7.736236520618886,Internacional,BRA,40,Bajo
45020250006,10,MAT003,Envase PET 1L,Empaques,SUP013,Caspian Traders,Turquía,DAP,PEN,4.29,15080.647076380019,KG,BOL01,2025-04-13,2025-05-11,2025-05-18,1.1347434298547905,3.949,15080.647076380019,1.0863509749303621,16382.87565400615,28,35,-4.264616445553774,Internacional,TUR,60,Medio
45020250007,10,MAT002,Trigo Duro,Cereales,SUP001,AgroAndes SAC,Perú,FOB,USD,1003.3149,10.461912469496998,TM,CHI01,2025-04-05,2025-04-13,2025-04-21,1.259120188903558,3.936,10461.912469496998,1.0033149,10496.592663142132,8,16,-20.316193097206494,Local,PER,45,Medio
45020250008,10,MAT010,Salsa Base Tomate,Ingredientes,SUP004,Granary Global,Estados Unidos,FOB,PEN,4.04,24082.634980700524,KG,LIM01,2025-05-13,2025-06-15,2025-06-18,1.0296903881409873,3.84,24082.634980700524,1.0520833333333335,25336.938885945347,33,36,2.1747260584586567,Internacional,USA,15,Muy Bajo
45020250009,10,MAT009,Cartón Corrugado,Empaques,SUP013,Caspian Traders,Turquía,CIF,PEN,5.54,14428.389159976263,KG,ARE01,2025-01-05,2025-01-24,2025-01-21,1.276776257502368,3.999,14428.389159976263,1.385346336584146,19988.31606558352,19,16,8.50345379183061,Internacional,TUR,60,Medio
